SPECTRUM - MS,
VI-143.raw,
FTMS + p ESI Full ms [200.00-3000.00],
Scan #: 17-31,
RT: 0.30-0.56,
AV: 15,
SB: 19  0.01-0.34 ,
Data points: 67852,
Mass,Intensity
200.000886,0
200.00142,0
200.001955,0
200.002489,0
200.003023,0
200.003557,0
200.004091,0
200.004625,0
200.005159,26.389215
200.005693,46.023383
200.006227,54.762238
200.006762,43.954987
200.007296,17.382835
200.00783,0.009526
200.008364,0
200.008898,0
200.009432,0
200.009966,0
200.010501,0
200.018513,0
200.019047,0
200.019581,0
200.020116,0
200.02065,24.396839
200.021184,41.195721
200.021718,43.325148
200.022252,40.451613
200.022787,34.586996
200.023321,11.146993
200.023855,0.000002
200.024389,0
200.024923,0
200.025458,0
200.025992,0
200.101871,0
200.102406,0
200.10294,0
200.103475,0
200.104009,19.072698
200.104544,46.705812
200.105078,59.096739
200.105613,52.537607
200.106148,31.788755
200.106682,9.224863
200.107217,0.000007
200.107751,0
200.108286,0
200.10882,0
200.109355,0
200.169772,0
200.170307,0
200.170842,0
200.171376,0
200.171911,8.839588
200.172446,17.655797
200.172981,18.803107
200.173516,4.056177
200.17405,4.507032
200.174585,0
200.17512,0
200.175655,0
200.17619,0
200.31103,0
200.311566,0
200.312101,0
200.312637,0
200.313172,1.863358
200.313707,6.473449
200.314243,9.209757
200.314778,9.136026
200.315313,7.558554
200.315849,4.056119
200.316384,0
200.31692,0
200.317455,0
200.31799,0
200.356008,0
200.356543,0
200.357079,0
200.357614,0
200.35815,19.878666
200.358685,41.043025
200.359221,47.014083
200.359757,46.251176
200.360292,37.630269
200.360828,14.564728
200.361363,0.000038
200.361899,0
200.362434,0
200.36297,0
200.363505,0
200.441721,0
200.442256,0
200.442792,0
200.443328,0
200.443864,28.81435
200.4444,44.137119
200.444936,47.57923
200.445472,41.063003
200.446008,31.298697
200.446544,2.232921
200.447079,0.000007
200.447615,0
200.448151,0
200.448687,0
200.449223,0
200.513547,0
200.514084,0
200.51462,0
200.515156,0
200.515692,2.207822
200.516228,7.346627
200.516764,10.09642
200.517301,10.035073
200.517837,7.349733
200.518373,3.069507
200.518909,0
200.519445,0
200.519982,0
200.520518,0
200.611165,0
200.611702,0
200.612238,0
200.612775,0
200.613311,2.025909
200.613848,6.617688
200.614385,9.263437
200.614921,10.435639
200.615458,9.628119
200.615994,6.915897
200.616531,2.899427
200.617067,0
200.617604,0
200.618141,0
200.618677,0
200.749668,0
200.750206,0
200.750743,0
200.75128,0
200.751817,8.093013
200.752354,28.038814
200.752891,40.987135
200.753428,43.168131
200.753965,36.579137
200.754503,19.195855
200.75504,0.000104
200.755577,0
200.756114,0
200.756651,0
200.757188,0
200.760411,0
200.760948,0
200.761485,0
200.762023,0
200.76256,2.603085
200.763097,7.895543
200.763634,9.736376
200.764171,10.176095
200.764708,9.117308
200.765246,4.951619
200.765783,0
200.76632,0
200.766857,0
200.767394,0
200.857134,0
200.857672,0
200.858209,0
200.858747,0
200.859284,10.190284
200.859822,32.621279
200.860359,43.869214
200.860897,46.150003
200.861435,38.867928
200.861972,20.082437
200.86251,0.000124
200.863047,0
200.863585,0
200.864122,0
200.86466,0
200.940479,0
200.941017,0
200.941555,0
200.942093,0
200.942631,2.92973
200.943169,9.242033
200.943707,11.743385
200.944245,11.354979
200.944782,8.647834
200.94532,4.021018
200.945858,0
200.946396,0
200.946934,0
200.947472,0
201.005578,0
201.006117,0
201.006655,0
201.007193,0
201.007731,2.77294
201.008269,7.953984
201.008807,8.806684
201.009345,8.600475
201.009884,7.160583
201.010422,3.573702
201.01096,0
201.011498,0
201.012036,0
201.012574,0
201.08417,0
201.084708,0
201.085247,0
201.085785,0
201.086324,38.149293
201.086862,69.546368
201.087401,5.292595
201.087939,0
201.088478,0
201.089016,0
201.089555,0
201.106248,0
201.106787,0
201.107326,0
201.107864,0
201.108403,54.573639
201.108941,86.861077
201.10948,103.816152
201.110018,89.600729
201.110557,38.081785
201.111095,0
201.111634,0
201.112173,0
201.112711,0
201.11325,1.33451
201.113788,2.722378
201.114327,0
201.114865,0
201.115404,0
201.115943,0
201.140181,0
201.14072,0
201.141258,0
201.141797,0
201.142336,17.933676
201.142874,39.201916
201.143413,52.020626
201.143952,56.25109
201.144491,50.106641
201.145029,34.799649
201.145568,10.34853
201.146107,0.000085
201.146645,0
201.147184,0
201.147723,0
201.148261,0
201.154726,0
201.155265,0
201.155804,0
201.156342,0
201.156881,11.56002
201.15742,34.145824
201.157959,50.114399
201.158497,50.798513
201.159036,39.444412
201.159575,14.680829
201.160114,0.000122
201.160652,0
201.161191,0
201.16173,0
201.162269,0
201.325076,0
201.325615,0
201.326155,0
201.326694,0
201.327234,25.702704
201.327773,44.844976
201.328312,53.685924
201.328852,43.407423
201.329391,19.629681
201.329931,0.164611
201.33047,0.000002
201.33101,0
201.331549,0
201.332089,0
201.332628,0
201.427066,0
201.427605,0
201.428145,0
201.428685,0
201.429225,1.722994
201.429765,6.174286
201.430305,9.442217
201.430844,0
201.431384,0
201.431924,0
201.432464,0
201.70645,0
201.706991,0
201.707532,0
201.708073,0
201.708614,17.74274
201.709155,35.565922
201.709696,44.705336
201.710237,43.513705
201.710778,35.202149
201.711318,7.800078
201.711859,0.000095
201.7124,0
201.712941,0
201.713482,0
201.714023,0
201.744322,0
201.744863,0
