SPECTRUM - MS,
spent_138.raw,
FTMS + p ESI Full ms [150.00-2000.00],
Scan #: 19-39,
RT: 0.34-0.71,
AV: 21,
SB: 19  0.01-0.34 ,
Data points: 73853,
Mass,Intensity
150.000681,0
150.001028,0
150.001375,0
150.001722,0
150.31026,0
150.310608,0
150.310956,0
150.311304,0
150.311652,13.820713
150.312,28.467825
150.312347,37.06866
150.312695,34.412781
150.313043,23.380479
150.313391,0.13472
150.313739,0.000129
150.314087,0
150.314435,0
150.314783,0
150.315132,0
150.517178,0
150.517527,0
150.517875,0
150.518224,0
150.518573,22.266472
150.518922,27.918198
150.51927,30.530318
150.519619,27.616733
150.519968,19.072932
150.520316,1.611533
150.520665,0.001923
150.521014,0
150.521363,0
150.521711,0
150.52206,0
150.921445,0
150.921795,0
150.922145,0
150.922495,0
150.922845,18.898642
150.923195,30.551671
150.923545,34.528253
150.923896,31.453183
150.924246,22.781625
150.924596,0.553477
150.924946,0.000637
150.925296,0
150.925646,0
150.925996,0
150.926346,0
150.9358,0
150.936151,0
150.936501,0
150.936851,0
150.937201,25.838686
150.937551,28.776156
150.937901,29.917876
150.938252,28.030048
150.938602,21.531581
150.938952,0.780906
150.939302,0.000914
150.939652,0
150.940002,0
150.940353,0
150.940703,0
151.025132,0
151.025482,0
151.025833,0
151.026183,0
151.026533,9.676137
151.026884,24.617176
151.027234,33.941309
151.027585,34.465486
151.027935,25.643842
151.028286,9.476412
151.028636,0.011433
151.028987,0
151.029337,0
151.029688,0
151.030038,0
151.033543,0
151.033894,0
151.034244,0
151.034595,0
151.034945,23.408811
151.035296,29.474261
151.035646,32.741518
151.035997,29.760753
151.036347,19.833927
151.036698,0.293132
151.037048,0.000326
151.037399,0
151.037749,0
151.0381,0
151.03845,0
151.541649,0
151.542002,0
151.542354,0
151.542706,0
151.543058,19.067445
151.543411,27.836882
151.543763,35.119805
151.544115,39.719647
151.544467,37.202534
151.54482,24.915116
151.545172,0.346418
151.545524,0.000383
151.545877,0
151.546229,0
151.546581,0
151.546933,0
151.730997,0
151.73135,0
151.731703,0
151.732056,0
151.732409,16.101809
151.732762,28.739665
151.733115,39.634134
151.733468,43.161023
151.733821,36.645913
151.734174,24.579315
151.734527,1.481633
151.73488,0.001757
151.735233,0
151.735586,0
151.735938,0
151.736291,0
152.00843,0
152.008784,0
152.009138,0
152.009492,0
152.009846,19.256301
152.0102,29.488242
152.010554,35.287237
152.010908,35.456455
152.011261,27.802785
152.011615,15.112216
152.011969,1.051145
152.012323,0.00125
152.012677,0
152.013031,0
152.013385,0
152.013739,0
152.199363,0
152.199718,0
152.200072,0
152.200427,0
152.200781,17.988244
152.201136,27.542617
152.201491,30.815398
152.201845,28.11439
152.2022,21.401567
152.202554,1.307744
152.202909,0.001552
152.203263,0
152.203618,0
152.203973,0
152.204327,0
