"This table is from ""The 1995 Update to the Atomic Mass Evaluation"""
"G. Audi and A.H. Wapstra, _Nuclear Physics_ A595 (1995) 409-480."
The data here were obtained from:
http://www.nea.fr/html/dbdata/mass_rmd_mas95.txt
"and are the ""recommended"" values. "
"For more information, see: "
http://iaeand.iaea.or.at/ndspub/masses/README.MAS95
   Z    A Element  u          +/-u*10^6
   0    1  n     1.008664923    0.002
   1    1 H      1.007825032    0.000
   1    2 H      2.014101778    0.000
   1    3 H      3.016049268    0.001
   2    3 He     3.016029310    0.001
   2    4 He     4.002603250    0.001
   2    5 He     5.012223628   53.677
   2    6 He     6.018888072    1.089
   2    7 He     7.028030527   32.210
   2    8 He     8.033921838    7.597
   3    5 Li     5.012537796   53.677
   3    6 Li     6.015122281    0.510
   3    7 Li     7.016004049    0.507
   3    8 Li     8.022486670    0.523
   3    9 Li     9.026789122    2.089
   4    6 Be     6.019725804    5.871
   4    7 Be     7.016929246    0.507
   4    8 Be     8.005305094    0.038
   4    9 Be     9.012182135    0.425
   4   10 Be    10.013533720    0.430
   4   11 Be    11.021657653    6.823
   5    8 B      8.024606713    1.188
   5    9 B      9.013328806    1.055
   5   10 B     10.012937027    0.397
   5   11 B     11.009305466    0.451
   5   12 B     12.014352109    1.503
   5   13 B     13.017780267    1.165
   6   10 C     10.016853110    0.409
   6   11 C     11.011433818    1.022
   6   12 C     12.0000000      0.0
   6   13 C     13.003354838    0.001
   6   14 C     14.003241988    0.004
   6   15 C     15.010599258    0.859
   6   16 C     16.014701243    3.841
   7   12 N     12.018613202    1.073
   7   13 N     13.005738584    0.289
   7   14 N     14.003074005    0.001
   7   15 N     15.000108898    0.001
   7   16 N     16.006101417    2.815
   7   17 N     17.008449673   16.126
   7   18 N     18.014081827   21.488
   8   13 O     13.024810400   10.227
   8   14 O     14.008595285    0.080
   8   15 O     15.003065386    0.540
   8   16 O     15.994914622    0.002
   8   17 O     16.999131501    0.223
   8   18 O     17.999160419    0.851
   8   19 O     19.003578730    3.386
   8   20 O     20.004076150    1.275
   9   17 F     17.002095238    0.266
   9   18 F     18.000937667    0.636
   9   19 F     18.998403205    0.075
   9   20 F     19.999981324    0.090
   9   21 F     20.999948921    1.934
   9   22 F     22.002999250   13.313
  10   17 Ne    17.017697565   53.677
  10   18 Ne    18.005697066    1.610
  10   19 Ne    19.001879839    0.641
  10   20 Ne    19.992440176    0.002
  10   21 Ne    20.993846744    0.043
  10   22 Ne    21.991385510    0.232
  10   23 Ne    22.994467337    0.265
  10   24 Ne    23.993615074   10.738
  11   20 Na    20.007348260    7.152
  11   21 Na    20.997655099    0.751
  11   22 Na    21.994436782    0.488
  11   23 Na    22.989769675    0.226
  11   24 Na    23.990963332    0.232
  11   25 Na    24.989954352    1.306
  11   26 Na    25.992589898   15.425
  12   21 Mg    21.011714174   17.623
  12   22 Mg    21.999574055    1.454
  12   23 Mg    22.994124850    1.344
  12   24 Mg    23.985041898    0.201
  12   25 Mg    24.985837023    0.204
  12   26 Mg    25.982593040    0.207
  12   27 Mg    26.984340742    0.212
  12   28 Mg    27.983876703    2.152
  13   24 Al    23.999940911    4.228
  13   25 Al    24.990428555    0.742
  13   26 Al    25.986891659    0.212
  13   27 Al    26.981538441    0.135
  13   28 Al    27.981910184    0.148
  13   29 Al    28.980444848    1.295
  13   30 Al    29.982960304   15.078
  14   25 Si    25.004106640   10.735
  14   26 Si    25.992329935    3.221
  14   27 Si    26.986704764    0.170
  14   28 Si    27.976926533    0.002
  14   29 Si    28.976494719    0.030
  14   30 Si    29.973770218    0.045
  14   31 Si    30.975363275    0.070
  14   32 Si    31.974148129    2.324
  15   28 P     27.992312330    4.026
  15   29 P     28.981801376    0.777
  15   30 P     29.978313807    0.430
  15   31 P     30.973761512    0.197
  15   32 P     31.973907163    0.202
  15   33 P     32.971725281    1.176
  15   34 P     33.973636381    5.374
  16   29 S     28.996608805   53.677
  16   30 S     29.984902954    3.223
  16   31 S     30.979554421    1.615
  16   32 S     31.972070690    0.121
  16   33 S     32.971458497    0.117
  16   34 S     33.967866831    0.106
  16   35 S     34.969032140    0.099
  16   36 S     35.967080880    0.252
  16   37 S     36.971125716    0.269
  16   38 S     37.971163443    7.700
  17   32 Cl    31.985688908    7.281
